Grid,C-2,C-4,C-6,C-8,C-10,C-12,C-14,C-16,C-18,C-20,C-22,C-24,C-26,ROW,,,
Hold #,1708,1350,1090,1528,1348,1423,1341,1539,1344,1526,1087,1347,1707,R-35,,,
Angle,180˚,215˚,204˚,160˚,210˚,175˚,180˚,175˚,140˚,195,170˚,145˚,180,R-35,,, Denotes a set screw orientation
Hold #,D259,1431,1521,1501,1377,1084,1435,1372,1231,1230,1529,1439,D258,R-33,,,
Angle,220˚,190˚,200˚,205˚,155˚,185˚,180˚,180˚,185˚,220˚,145˚,180˚,245˚,R-33,,,
Hold #,1710,1222,1207,1436,1240,1444,1210,1442,1218,1300,1234,1531,1671,R-31,,,
Angle,245˚,140˚,180˚,140˚,245˚,135˚,180˚,215˚,225˚,155˚,165˚,175˚,145˚,R-31,,,
Hold #,1672,1224,1535,1524,1176,1212,1225,1291,1209,1532,1379,1343,D252,R-29,,,
Angle,180˚,205˚,155˚,65˚,280˚,130˚,180˚,135˚,160˚,250˚,175˚,230˚,190˚,R-29,,,
Hold #,D260,1088,1508,1345,1522,1432,1175,1533,1238,1536,1266,1534,1709,R-27,,,
Angle,140˚,175˚,199˚,215˚,165˚,215˚,205˚,145˚,205˚,310˚,170˚,155˚,245˚,R-27,,,
Hold #,D251,1447,1537,1527,1298,1422,1525,1450,1371,1294,1081,1437,1704,R-25,,,
Angle,250˚,215˚,110˚,60˚,230˚,230˚,0˚,235˚,230˚,130˚,155˚,170˚,0˚,R-25,,,
Hold #,1701,1263,1502,1221,1205,1267,1540,1237,1269,1223,1229,1203,1678,R-23,,,
Angle,185˚,150˚,185˚,270˚,225˚,155˚,185˚,155˚,220˚,120˚,175˚,155˚,325˚,R-23,,,
Hold #,1675,1438,1299,1173,1440,1322,1208,1292,1226,1342,1421,1380,1677,R-21,,,
Angle,170˚,200˚,220˚,265˚,100˚,270˚,175˚,200˚,270˚,90˚,165˚,170˚,220˚,R-21,,,
Hold #,1674,1506,1239,1083,1268,1085,1443,1089,1262,1295,1086,1530,D253,R-19,,,
Angle,75˚,150˚,230˚,115˚,175˚,60˚,180˚,325˚,175˚,160˚,250˚,250˚,90˚,R-19,,,
Hold #,1703,1204,1374,1228,1211,1177,1538,1179,1235,1430,1227,1202,1705,R-17,,,
Angle,185˚,170˚,185˚,220˚,130˚,245˚,10˚,145˚,170˚,180˚,210˚,180˚,135˚,R-17,,,
Hold #,1676,1220,1429,1448,1172,1296,1446,1216,1449,1180,1261,1232,1680,R-15,,,
Angle,230˚,130˚,215˚,85˚,50˚,345˚,270˚,150˚,165˚,315˚,245˚,160˚,110˚,R-15,,,
Hold #,D254,1510,1349,1427,1434,1233,1174,1504,1433,1346,1503,1213,1702,R-13,,,
Angle,95˚,175˚,225˚,10˚,130˚,160˚,180˚,225˚,270˚,150˚,175˚,210˚,170˚,R-13,,,
Hold #,1706,1378,1293,1441,1201,1424,1214,1236,1206,1445,1428,1509,D255,R-11,,,
Angle,180˚,155˚,220˚,145˚,280˚,225˚,185˚,245˚,55˚,230˚,160˚,230˚,125˚,R-11,,,
Hold #,D257,1171,1217,1215,1265,1325,1264,1219,1523,1426,1328,1178,D256,R-9,,,
Angle,300˚,205˚,165˚,185˚,220˚,100˚,180˚,275˚,135˚,235˚,175˚,205˚,210˚,R-9,,,
Hold #,1673,1376,1425,1375,1373,1323,1297,1507,1270,1505,1326,1082,1679,R-7,,,
Angle,45˚,175˚,160˚,180˚,300˚,180˚,265˚,60˚,345˚,180˚,20˚,250˚,325˚,R-7,,,
10x10 Above,,,,,,,,,,,,,,,,,
8x12 Additions Below,,,,,,,,,,,,,,,,,
Hold #,1650,D248,1595,D242,1591,D245,1594,D247,1597,D249,1593,D241,1641,R-5,,,
Angle,175˚,305˚,235˚,175˚,335˚,210˚,0˚,205˚,30˚,230˚,140˚,40˚,235˚,R-5,,,
Hold #,1649,D104,1602,1592,D110,1605,D244,D102,1599,1596,1598,D101,1646,R-3,,,
Angle,70˚,300˚,290˚,0˚,50˚,205˚,295˚,220˚,145˚,355˚,145˚,215˚,250˚,R-3,,,
Hold #,1643,1604,D103,D243,1601,D109,D250,1603,D105,D246,D107,1600,1648,R-1,,,
Angle,165˚,135˚,245˚,275˚,270˚,120˚,145˚,180˚,225˚,200˚,65˚,120˚,150˚,R-1,,,
Kickboard Below,,,,,,,,,,,,,,,,,
Hold #,D140,D268,D265,D269,D270,D264,D263,D267,D262,D261,D266,D136,D139,K-1,,,
Angle,115˚,145˚,240˚,85˚,85˚,285˚,250˚,90˚,290˚,60˚,100˚,180˚,165˚,K-1,,,